;Unnamed: 0;Word;Paragraph;Stage;Idiom;Type
0;0;a;1;1.0;False;pronoun
1;1;book;1;1.0;False;noun
2;2;it is (it's);1;1.0;False;pronoun
3;3;pen;1;1.0;False;noun
4;4;pencil;1;1.0;False;noun
5;5;this;1;1.0;False;pronoun
6;6;what is (what's);1;1.0;False;pronoun
7;7;box ;2;1.0;False;proper noun
8;8;ceiling;2;1.0;False;noun
9;9;chair;2;1.0;False;noun
10;10;clock ;2;1.0;False;verb
11;11;door;2;1.0;False;noun
12;12;floor;2;1.0;False;noun
13;13;is this ?;2;1.0;False;auxiliary
14;14;light;2;1.0;False;adjective
15;15;no, it is not (isn't);2;1.0;False;interjection
16;16;picture;2;1.0;False;noun
17;17;room;2;1.0;False;noun
18;18;table;2;1.0;False;noun
19;19;wall;2;1.0;False;noun
20;20;window;2;1.0;False;noun
21;21;yes;2;1.0;False;interjection
22;22;contraction;3;1.0;False;noun
23;23;large;3;1.0;False;adjective
24;24;long;3;1.0;False;adverb
25;25;short;3;1.0;False;adjective
26;26;small    ;3;1.0;False;adjective
27;27;the;3;1.0;False;pronoun
28;28;boy;4;1.0;False;proper noun
29;29;city;4;1.0;False;noun
30;30;girl;4;1.0;False;noun
31;31;man;4;1.0;False;noun
32;32;or;4;1.0;False;coordinating conjunction
33;33;town;4;1.0;False;noun
34;34;village;4;1.0;False;noun
35;35;woman;4;1.0;False;noun
36;36;five ;5;1.0;False;numeral
37;37;four;5;1.0;False;numeral
38;38;in;5;1.0;False;adposition
39;39;on;5;1.0;False;adposition
40;40;one;5;1.0;False;numeral
41;41;three;5;1.0;False;numeral
42;42;two ;5;1.0;False;numeral
43;43;under;5;1.0;False;adposition
44;44;black;6;1.0;False;adjective
45;45;brown;6;1.0;False;proper noun
46;46;green ;6;1.0;False;adjective
47;47;Mr ;6;1.0;False;proper noun
48;48;Mrs ;6;1.0;False;proper noun
49;49;what colour?    ;6;1.0;False;determiner
50;50;white ;6;1.0;False;proper noun
51;51;eight;7;1.0;False;numeral
52;52;nine;7;1.0;False;numeral
53;53;seven;7;1.0;False;numeral
54;54;six;7;1.0;False;numeral
55;55;ten;7;1.0;False;numeral
56;56;where     ;7;1.0;False;subordinating conjunction
57;57;he is / he's ;8;1.0;False;pronoun
58;58;I am / I’m ;8;1.0;False;pronoun
59;59;it is / it's ;8;1.0;False;pronoun
60;60;she is / she's ;8;1.0;False;pronoun
61;61;you are / you're ;8;1.0;False;pronoun
62;62;behind;9;1.0;False;adposition
63;63;he is not / he isn't / ;9;1.0;False;pronoun
64;64;I am not / I’m not ;9;1.0;False;pronoun
65;65;in  front  of;9;1.0;False;adposition
66;66;it is not / it isn't ;9;1.0;False;pronoun
67;67;me;9;1.0;False;pronoun
68;68;she is not / she isn't ;9;1.0;False;pronoun
69;69;you;9;1.0;False;pronoun
70;70;you are not / you aren't ;9;1.0;False;pronoun
71;71;her ;10;1.0;False;pronoun
72;72;him ;10;1.0;False;pronoun
73;73;house;10;1.0;False;noun
74;74;putting on;11;1.0;False;verb
75;75;sitting   ;11;1.0;False;verb
76;76;standing ;11;1.0;False;verb
77;77;taking  from ;11;1.0;False;verb
78;78;closing    ;12;1.0;False;verb
79;79;doing;12;1.0;False;verb
80;80;opening;12;1.0;False;verb
81;81;what am I doing? ;12;1.0;False;pronoun
82;82;which;12;1.0;False;pronoun
83;83;closed    ;13;1.0;False;verb
84;84;open  ;13;1.0;False;adjective
85;85;chart;14;1.0;False;noun
86;86;eleven;14;1.0;False;numeral
87;87;etc. ;14;1.0;False;other
88;88;fifteen;14;1.0;False;numeral
89;89;fourteen;14;1.0;False;numeral
90;90;of;14;1.0;False;adposition
91;91;plural;14;1.0;False;noun
92;92;that;14;1.0;False;pronoun
93;93;thirteen;14;1.0;False;numeral
94;94;this ;14;1.0;False;pronoun
95;95;twelve;14;1.0;False;numeral
96;96;they are / they're ;15;1.0;False;pronoun
97;97;we are / we're ;15;1.0;False;pronoun
98;98;we are not / we aren't;15;1.0;False;pronoun
99;99;and;16;1.0;False;coordinating conjunction
100;100;blue ;16;1.0;False;adjective
101;101;grey;16;1.0;False;proper noun
102;102;red ;16;1.0;False;proper noun
103;103;these ;16;1.0;False;pronoun
104;104;they are  not / they aren't ;16;1.0;False;pronoun
105;105;those;16;1.0;False;pronoun
106;106;yellow ;16;1.0;False;adjective
107;107;clothes     ;17;1.0;False;noun
108;108;eighteen;17;1.0;False;numeral
109;109;men;17;1.0;False;noun
110;110;nineteen;17;1.0;False;numeral
111;111;say;17;1.0;False;verb
112;112;seventeen;17;1.0;False;other
113;113;sixteen;17;1.0;False;numeral
114;114;twenty;17;1.0;False;numeral
115;115;women;17;1.0;False;noun
116;116;alphabet  ;18;1.0;False;proper noun
117;117;bag;18;1.0;False;noun
118;118;boot;18;1.0;False;noun
119;119;consonant   ;18;1.0;False;adjective
120;120;hat;18;1.0;False;noun
121;121;jacket ;18;1.0;False;noun
122;122;letter    ;18;1.0;False;noun
123;123;shirt;18;1.0;False;noun
124;124;shoe ;18;1.0;False;noun
125;125;sock ;18;1.0;False;proper noun
126;126;suit ;18;1.0;False;noun
127;127;tie;18;1.0;False;verb
128;128;trousers;18;1.0;False;noun
129;129;vowel  ;18;1.0;False;noun
130;130;after    ;19;1.0;False;adposition
131;131;before    ;19;1.0;False;adverb
132;132;between    ;20;1.0;False;adposition
133;133;us    ;20;1.0;False;pronoun
134;134;eighty;21;1.0;False;numeral
135;135;fifty;21;1.0;False;numeral
136;136;forty;21;1.0;False;numeral
137;137;hundred;21;1.0;False;numeral
138;138;million;21;1.0;False;numeral
139;139;ninety;21;1.0;False;numeral
140;140;number ;21;1.0;False;noun
141;141;seventy;21;1.0;False;numeral
142;142;sixty;21;1.0;False;numeral
143;143;student;21;1.0;False;noun
144;144;teacher ;21;1.0;False;noun
145;145;them    ;21;1.0;False;pronoun
146;146;thirty;21;1.0;False;numeral
147;147;thousand;21;1.0;False;numeral
148;148;equals;22;1.0;False;verb
149;149;how much    ;22;1.0;False;subordinating conjunction
150;150;plus ;22;1.0;False;coordinating conjunction
151;151;now    ;23;1.0;False;adverb
152;152;there are ;23;1.0;False;pronoun
153;153;there is / there's ;23;1.0;False;pronoun
154;154;but;24;1.0;False;coordinating conjunction
155;155;high ;24;1.0;False;adjective
156;156;low  ;24;1.0;False;adjective
157;157;there are not / there aren't ;24;1.0;False;pronoun
158;158;there is not / there isn't ;24;1.0;False;pronoun
159;159;close !    ;25;1.0;False;adverb
160;160;imperative;25;1.0;False;noun
161;161;open ! ;25;1.0;False;adjective
162;162;please    ;25;1.0;False;interjection
163;163;put ! ;25;1.0;False;verb
164;164;take ! ;25;1.0;False;verb
165;165;Athens;26;1.0;False;proper noun
166;166;Beijing;26;1.0;False;proper noun
167;167;capital;26;1.0;False;noun
168;168;China ;26;1.0;False;proper noun
169;169;England;26;1.0;False;proper noun
170;170;Greece;26;1.0;False;proper noun
171;171;here    ;26;1.0;False;adverb
172;172;London;26;1.0;False;proper noun
173;173;Moscow;26;1.0;False;proper noun
174;174;Russia;26;1.0;False;proper noun
175;175;there    ;26;1.0;False;pronoun
176;176;blouse;27;1.0;False;noun
177;177;coat;27;1.0;False;noun
178;178;dress;27;1.0;False;noun
179;179;handkerchief;27;1.0;False;noun
180;180;how many ?   ;27;1.0;False;subordinating conjunction
181;181;pocket;27;1.0;False;noun
182;182;pullover;27;1.0;False;noun
183;183;reading  ;27;1.0;False;verb
184;184;scarf;27;1.0;False;proper noun
185;185;skirt ;27;1.0;False;noun
186;186;tights;27;1.0;False;noun
187;187;writing    ;27;1.0;False;verb
188;188;going  to    ;28;1.0;False;verb
189;189;Asia ;29;1.0;False;proper noun
190;190;cardinal  ;29;1.0;False;proper noun
191;191;Europe;29;1.0;False;proper noun
192;192;fifth 5th;29;1.0;False;adjective
193;193;first 1st.;29;1.0;False;adjective
194;194;fourth 4th.;29;1.0;False;adjective
195;195;France;29;1.0;False;proper noun
196;196;India;29;1.0;False;proper noun
197;197;Italy;29;1.0;False;proper noun
198;198;ordinal  ;29;1.0;False;adjective
199;199;second 2nd.;29;1.0;False;adjective
200;200;sixth 6th;29;1.0;False;adjective
201;201;third 3rd.;29;1.0;False;adjective
202;202;twelfth 12th;29;1.0;False;adjective
203;203;twentieth 20th ;29;1.0;False;adjective
204;204;give    ;31;1.0;False;verb
205;205;last    ;31;1.0;False;adverb
206;206;English;32;1.0;False;proper noun
207;207;French ;32;1.0;False;adjective
208;208;German;32;1.0;False;adjective
209;209;her    ;32;1.0;False;pronoun
210;210;his;32;1.0;False;pronoun
211;211;Italian ;32;1.0;False;adjective
212;212;my ;32;1.0;False;pronoun
213;213;your    ;32;1.0;False;pronoun
214;214;our ;33;1.0;False;pronoun
215;215;their ;33;1.0;False;pronoun
216;216;your ;33;1.0;False;pronoun
217;217;all    ;34;1.0;False;pronoun
218;218;coming from;35;1.0;False;verb
219;219;people;35;1.0;False;noun
220;220;person;35;1.0;False;noun
221;221;action;36;1.0;False;noun
222;222;for;36;1.0;False;adposition
223;223;sentence    ;36;1.0;False;verb
224;224;touch;36;1.0;False;verb
225;225;use;36;1.0;False;verb
226;226;verb;36;1.0;False;noun
227;227;word;36;1.0;False;noun
228;228;colon :;37;1.0;False;noun
229;229;comma ,;37;1.0;False;proper noun
230;230;full stop .;37;1.0;False;adjective
231;231;question mark ?;37;1.0;False;noun
232;232;"semi-colon  ;    ";37;1.0;False;adjective
233;233;a;38;1.0;False;pronoun
234;234;an ;38;1.0;False;pronoun
235;235;pronounce;38;1.0;False;noun
236;236;the;38;1.0;False;pronoun
237;237;the;38;1.0;False;pronoun
238;238;umbrella;38;1.0;False;noun
239;239;arm;39;1.0;False;verb
240;240;back;39;1.0;False;adverb
241;241;body    ;39;1.0;False;noun
